,Unnamed: 0,course_title,course_organization,course_Certificate_type,course_rating,course_difficulty,course_students_enrolled
407,423,Healthcare Marketplace,University of Minnesota,SPECIALIZATION,4.4,Beginner,36000.0
408,596,Healthcare Organization Operations,Rutgers the State University of New Jersey,SPECIALIZATION,4.6,Beginner,5500.0
409,845,"High Performance Collaboration: Leadership, Teamwork, and Negotiation",Northwestern University,COURSE,4.8,Mixed,46000.0
410,700,Homeland Security and Cybersecurity,University of Colorado System,SPECIALIZATION,4.7,Beginner,5500.0
411,177,"Hotel Management: Distribution, Revenue and Demand Management",ESSEC Business School,SPECIALIZATION,4.6,Beginner,28000.0
412,554,How Things Work: An Introduction to Physics,University of Virginia,COURSE,4.8,Intermediate,170000.0
413,767,How To Create a Website in a Weekend! (Project-Centered Course),The State University of New York,COURSE,3.3,Mixed,140000.0
414,609,How to Start Your Own Business,Michigan State University,SPECIALIZATION,4.1,Beginner,34000.0
415,52,Human Resource Management: HR for People Managers,University of Minnesota,SPECIALIZATION,4.7,Beginner,98000.0
416,34,IBM AI Engineering,IBM,PROFESSIONAL CERTIFICATE,4.6,Intermediate,140000.0
417,571,IBM AI Enterprise Workflow,IBM,SPECIALIZATION,4.4,Advanced,3500.0
418,12,IBM Applied AI,IBM,PROFESSIONAL CERTIFICATE,4.6,Beginner,220000.0
419,408,IBM Customer Engagement Specialist Professional Certificate,IBM,COURSE,4.8,Beginner,3300.0
420,0,IBM Data Science,IBM,PROFESSIONAL CERTIFICATE,4.6,Beginner,480000.0
421,98,IT Fundamentals for Cybersecurity,IBM,SPECIALIZATION,4.5,Beginner,35000.0
422,476,IT Security: Defense against the digital dark arts,Google,COURSE,4.8,Beginner,62000.0
423,856,"Identifying, Monitoring, and Analyzing Risk and Incident Response and Recovery",(ISC)²,COURSE,4.9,Beginner,1700.0
424,562,Implementación del Marketing Mix,IE Business School,SPECIALIZATION,4.7,Beginner,23000.0
425,640,Implementing RPA with Cognitive Automation and Analytics,Automation Anywhere,SPECIALIZATION,4.6,Beginner,2200.0
426,36,Improve Your English Communication Skills,Georgia Institute of Technology,SPECIALIZATION,4.7,Beginner,610000.0
427,123,"Improving Deep Neural Networks: Hyperparameter tuning, Regularization and Optimization",deeplearning.ai,COURSE,4.9,Beginner,270000.0
428,748,Improving Leadership & Governance in Nonprofit Organizations,Luther College at the University of Regina,SPECIALIZATION,4.4,Beginner,18000.0
429,318,In the Studio: Postwar Abstract Painting,The Museum of Modern Art,COURSE,4.9,Beginner,79000.0
430,110,Indigenous Canada,University of Alberta,COURSE,4.8,Mixed,51000.0
431,572,Industrial IoT on Google Cloud Platform,Google Cloud,COURSE,4.5,Beginner,34000.0
432,401,Infectious Disease Modelling,Imperial College London,SPECIALIZATION,5.0,Intermediate,1600.0
433,805,Influencer Marketing Strategy,Rutgers the State University of New Jersey,COURSE,4.4,Intermediate,12000.0
434,224,"Influencing: Storytelling, Change Management and Governance",Macquarie University,SPECIALIZATION,4.8,Beginner,22000.0
435,549,Information Security: Context and Introduction,"Royal Holloway, University of London",COURSE,4.6,Beginner,32000.0
436,537,Information Visualization,New York University,SPECIALIZATION,4.6,Beginner,10000.0
437,485,Information​ ​Systems,University of Minnesota,SPECIALIZATION,4.7,Beginner,16000.0
438,169,Initiating and Planning Projects,"University of California, Irvine",COURSE,4.7,Mixed,180000.0
439,365,Innovation Management,Erasmus University Rotterdam,COURSE,4.6,Beginner,40000.0
440,747,"Innovation Through Design: Think, Make, Break, Repeat",The University of Sydney,COURSE,4.8,Beginner,10000.0
441,673,Innovation: From Creativity to Entrepreneurship,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.8,Beginner,25000.0
442,219,Inspirational Leadership: Leading with Sense,HEC Paris,SPECIALIZATION,4.5,Beginner,72000.0
443,184,Inspired Leadership,Case Western Reserve University,SPECIALIZATION,4.7,Intermediate,97000.0
444,443,Inspiring and Motivating Individuals,University of Michigan,COURSE,4.8,Mixed,85000.0
445,345,Instructional Design Foundations and Applications,University of Illinois at Urbana-Champaign,COURSE,4.2,Mixed,12000.0
446,837,Instructional Methods in Health Professions Education,University of Michigan,COURSE,4.6,Intermediate,9700.0
447,171,Integrative Health and Medicine,University of Minnesota,SPECIALIZATION,4.8,Beginner,14000.0
448,120,Intellectual Property Law,University of Pennsylvania,SPECIALIZATION,4.8,Intermediate,8700.0
449,128,Interaction Design,University of California San Diego,SPECIALIZATION,4.5,Intermediate,150000.0
450,762,Intercultural Management,ESCP Business School,COURSE,4.6,Beginner,6500.0
451,451,International Business Essentials,University of London,SPECIALIZATION,4.5,Intermediate,22000.0
452,701,International Cyber Conflicts,The State University of New York,COURSE,4.4,Mixed,25000.0
453,404,International Humanitarian Law in Theory and Practice,Kalshoven-Gieskes Forum,COURSE,4.8,Beginner,22000.0
454,579,International Law in Action: A Guide to the International Courts and Tribunals in The Hague,Universiteit Leiden,COURSE,4.8,Mixed,36000.0
455,280,International Law in Action: the Arbitration of International Disputes,Universiteit Leiden,COURSE,4.8,Mixed,19000.0
456,228,International Leadership and Organizational Behavior,Università Bocconi,COURSE,4.8,Mixed,41000.0
457,615,International Marketing & Cross Industry Growth,Yonsei University,SPECIALIZATION,4.6,Beginner,26000.0
458,346,International Organizations Management,University of Geneva,COURSE,4.8,Beginner,20000.0
459,447,International Security Management,Erasmus University Rotterdam,COURSE,4.5,Beginner,2200.0
460,193,International Women's Health and Human Rights,Stanford University,COURSE,4.9,Beginner,35000.0
461,593,International migrations: a global issue,Sciences Po,COURSE,4.6,Beginner,11000.0
